Harry Potter and the Philosopher's Stone, Fantasy Literature, J. K. Rowling, 1997, 
Harry Potter and the Chamber of Secrets, Fantasy Literature, J. K. Rowling, 1998, 
Harry Potter and the Prisoner of Azkaban, Fantasy Literature, J. K. Rowling, 1999, 
Harry Potter and the Goblet of Fire, Fantasy Literature, J. K. Rowling, 2000, 
Harry Potter and the Order of the Phoenix, Fantasy Literature, J. K. Rowling, 2003, 
Harry Potter and the Half-Blood Prince, Fantasy Literature, J. K. Rowling, 2005, 
Harry Potter and the Deathly Hallows, Fantasy Literature, J. K. Rowling, 2007, 
The Maze Runner, Young Adult Dystopian Science Fiction, James Dashner, 2009, 
The Scorch Trials, Young Adult Dystopian Science Fiction, James Dashner, 2010, 
The Death Cure, Young Adult Dystopian Science Fiction, James Dashner, 2011, 
The Kill Order, Young Adult Dystopian Science Fiction, James Dashner, 2012, 
The Fever Code, Young Adult Dystopian Science Fiction, James Dashner, 2016, 
The Hunger Games, Young Adult Dystopian, Suzanne Collins, 2008, 
Catching Fire, Young Adult Dystopian, Suzanne Collins, 2009, 
Mockingjay, Young Adult Dystopian, Suzanne Collins, 2010, 
The Ballad of Songbirds and Snakes, Young Adult Dystopian, Suzanne Collins, 2020, 
Twilight, Vampire-Themed Fantasy Romance, Stephenie Meyer, 2005, 
New Moon, Vampire-Themed Fantasy Romance, Stephenie Meyer, 2006, 
Eclipse, Vampire-Themed Fantasy Romance, Stephenie Meyer, 2007, 
Breaking Dawn, Vampire-Themed Fantasy Romance, Stephenie Meyer, 2008, 
The Short Second Life of Bree Tanner, Vampire-Themed Fantasy Romance, Stephenie Meyer, 2010, 
Life and Death: Twilight Reimagined, Vampire-Themed Fantasy Romance, Stephenie Meyer, 2016, 
The Lightning Thief, Fantasy, Rick Riordan, 2005, 
The Sea of Monsters, Fantasy, Rick Riordan, 2006, 
The Titan's Curse, Fantasy, Rick Riordan, 2007, 
The Battle of the Labyrinth, Fantasy, Rick Riordan, 2008, 
The Last Olympian, Fantasy, Rick Riordan, 2009, 
The Coming Storm, Fantasy SwashBuckler, Rob Kidd, 2006, 
The Siren Song, Fantasy SwashBuckler, Rob Kidd, 2006, 
The Pirate Chase, Fantasy SwashBuckler, Rob Kidd, 2006, 
The Sword of Cortes, Fantasy SwashBuckler, Rob Kidd, 2006, 
The Age of Bronze, Fantasy SwashBuckler, Rob Kidd, 2006, 
Silver, Fantasy SwashBuckler, Rob Kidd, 2007, 
City of Gold, Fantasy SwashBuckler, Rob Kidd, 2007, 
The Timekeeper, Fantasy SwashBuckler, Rob Kidd, 2007, 
Dance of The Hours, Fantasy SwashBuckler, Rob Kidd, 2007, 
Sins of The Father, Fantasy SwashBuckler, Rob Kidd, 2007, 
Poseidon's Peak, Fantasy SwashBuckler, Rob Kidd, 2008, 
Bold New Horizons, Fantasy SwashBuckler, Rob Kidd, 2008, 
The Tale of Billy Turner and Other Stories, Fantasy SwashBuckler, Rob Kidd, 2009, 
